Token,POS
een,THAB
enkele,THAO
aansoek,NSE
om,SVS
'n,LO
handelsmerk,NSE
ingesluit,VVHOG
nie,UPO
.,ZE
,
enige,PO
persoon,NSE
sonder,SVS
'n,LO
kwalifikasie,NSE
wat,PB
deur,SVS
die,LB
raad,NSE
erken,VTHOG
word,VTUOP
",",ZM
kan,VTUOM
aansoek,NSE
doen,VTHOG
.,ZE
,
ons,PEMB
beleid,NSE
is,VTHOK
om,SVS
inligting,NM
te,UPI
verskaf,VTHOG
soos,UPV
en,KN
wanneer,PB
dit,PDOENP
beskikbaar,ASP
word,VTHOK
.,ZE
,
kry,VTHOG
'n,LO
aansoekvorm,NSE
by,SVS
die,LB
departement,NSE
van,SVS
omgewingsake,NSM
en,KN
toerisme,NA
.,ZE
,
pos,VTHOG
die,LB
vorms,NSM
aan,SVS
:,ZM
,
die,LB
vaartuig,NSE
nie,BS
by,SVS
enige,PO
onwettige,ASA
",",ZM
ongereguleerde,ASA
of,KN
onaangemelde,ASA
(,ZPL
iuu,RL
),ZPR
visvangsaktiwiteite,NSM
betrokke,ASP
was,VVHOK
nie,UPO
,
in,SVS
hierdie,PA
opsig,NSE
",",ZM
agbare,ASA
lede,NSM
",",ZM
is,VTHOK
ek,PEENP
bly,ASP
om,SVS
te,UPI
berig,VTHOG
dat,KO
ons,PEMP
tydens,SVS
die,LB
interaksie,NSE
tussen,SVS
die,LB
kantoor,NSE
van,SVS
die,LB
president,NSE
en,KN
leiers,NSM
van,SVS
verskeie,ASA
maatskaplike,ASA
vennote,NSM
gesamentlik,BS
saamgestem,VVHOO
het,VUOT
om,SVS
bemiddelings,NSM
daar,UPW
te,UPI
stel,VTHOG
wat,PB
die,LB
impak,NA
van,SVS
die,LB
krisis,NSE
op,SVS
ons,PEMB
samelewing,NSE
sal,VTUOM
beperk,VTHOG
.,ZE
,
'n,LO
kind,NSE
moet,VTUOM
onderhou,VTHOG
word,VTUOP
deur,SVS
,
die,LB
onderhoudsbedrag,NSE
wat,PB
betaal,VTHOG
moet,VTUOM
word,VTUOP
",",VTHOG
kan,VTUOM
egter,BS
deur,SVS
die,LB
hof,NSE
gewysig,VVHOG
word,VTUOP
indien,KO
enige,PO
van,UPD
die,LB
partye,NSM
so,UPV
'n,LO
aansoek,NSE
sou,VVUOM
bring,VTHOG
.,ZE
,
gratis,ASA
basiese,ASA
vullisverwydering,NA
,
maar,KN
dit,PDOENP
is,VTHOK
'n,LO
feit,NSE
dat,KO
agt,THBB
miljoen,THAB
mense,NSM
nog,BS
steeds,BS
sonder,SVS
drinkbare,ASA
water,NM
is,VTHOK
.,ZE
,
om,SVS
te,UPI
verseker,VTHOG
dat,KO
stelselmatige,ASA
monitering,NA
in,SVS
hierdie,PA
opsig,NSE
plaasvind,VTHSO
",",ZM
het,VUOT
die,LB
suid-afrikaanse,ASA
vereniging,NSE
vir,SVS
plaaslike,ASA
regering,NSE
",",ZM
salga,RK
",",ZM
ingestem,VVHOO
om,SVS
kwartaallikse,ASA
verslae,NSM
voor,UPW
te,UPI
lê,VTHOG
ten,SVS
opsigte,NSM
van,SVS
die,LB
werk,NA
wat,PB
verrig,VTHOG
word,VTUOP
.,ZE
,
tydens,SVS
sy,PDHEB
begrotingsrede,NSE
sal,VTUOM
die,LB
minister,NSE
van,SVS
finansies,NA
meer,THAO
inligting,NM
verskaf,VTHOG
ten,SVS
opsigte,NSM
van,SVS
die,LB
ondersteuning,NA
wat,PB
die,LB
regering,NSE
sal,VTUOM
bied,VTHOG
aan,SVS
die,LB
energiedoeltreffendheidsveldtog,NSE
en,KN
aan,SVS
eskom,RK
en,KN
sy,PDHEB
bouprogram,NSE
.,ZE
,
'n,LO
ib3(a),RS
sal,VTUOM
in,SVS
die,LB
volgende,ASA
gevalle,NSM
uitgereik,VVHOG
word,VTUOP
:,ZM
,
slegs,BS
'n,LO
plaaslik,BS
geregistreerde,ASA
maatskappy,NSE
",",VTHOG
'n,LO
suid-afrikaanse,ASA
burger,NSE
of,KN
'n,LO
liggaam,NSE
met,SVS
regspersoonlikheid,NSE
wat,PB
in,SVS
suid-afrika,NEE
geregistreer,VVHOG
is,VVUOP
",",VTHOG
mag,VTUOM
aansoek,NSE
doen,VTHOG
om,SVS
die,LB
registrasie,NSE
van,SVS
misstowwe,NSM
.,ZE
,
oorspronklike,ASA
veeartseny-invoerpermit,NSE
,
terselfdertyd,BS
is,VTHOK
die,LB
getal,NSE
matriekleerlinge,NSM
wat,PB
wiskunde,NA
op,SVS
hoër,AVA
graad,NSE
slaag,VTHOG
net,BS
effens,BS
hoër,AVP
as,KO
in,SVS
1995,RS
.,ZE
,
die,LB
uitbreiding,NSE
van,SVS
'n,LO
verskeidenheid,NSE
betrekkinge,NSM
in,SVS
verskeie,ASA
gebiede,NSM
tussen,SVS
ons,PEMB
regerings,NSM
en,KN
mense,NSM
bevestig,VTHOG
dat,KO
die,LB
china-suid-afrika-vennootskap,NSE
vir,SVS
groei,NA
en,KN
ontwikkeling,NA
'n,LO
strategiese,ASA
verhouding,NSE
is,VTHOK
met,SVS
wedersydse,ASA
voordele,NSM
",",ZM
wat,PB
net,BS
van,SVS
krag,NA
tot,SVS
krag,NA
kan,VTUOM
gaan,VTHOO
.,ZE
,
assesseringstandaarde,NSM
beskryf,VTHOG
die,LB
vlak,NSE
waarop,PB
leerders,NSM
hul,PDMB
bereiking,NA
van,SVS
die,LB
leeruitkoms(te),NSE
moet,VTUOM
toon,VTHOG
",",ZM
asook,KN
die,LB
manier,NSE
(,ZPL
diepte,NSE
en,KN
breedte,NSE
),ZPR
waarop,PB
hulle,PDMP
hul,PDMB
prestasie,NSE
moet,VTUOM
toon,VTHOG
.,ZE
,
heg,VTHOG
oorspronklike,ASA
of,KN
gewaarmerkte,ASA
kopieë,NSM
van,SVS
die,LB
volgende,ASA
dokumente,NSM
by,SVS
die,LB
aansoekvorm,NSE
aan,UPW
:,ZM
,
die,LB
ontwikkelingsuitkomste,NSM
stel,VTHOG
leerders,NSM
wat,PB
ook,BS
tot,SVS
die,LB
volgende,NA
in,SVS
staat,NSE
sal,VTUOM
wees,VTHOK
",",ZM
in,SVS
die,LB
vooruitsig,NSE
:,ZM
,
jy,PTENP
kan,VTUOM
meer,THAO
inligting,NM
oor,SVS
invoervereistes,NSM
by,SVS
die,LB
permitkantoor,NSE
of,KN
op,SVS
die,LB
departement,NSE
van,SVS
landbou,NM
se,UPS
webwerf,NSE
kry,VTHOG
.,ZE
,
wanneer,PB
ons,PEMP
taal,NSE
gebruik,VTHOG
",",ZM
integreer,VTHOG
ons,PEMP
egter,BS
kennis,NM
",",ZM
vaardighede,NSM
en,KN
waardes,NSM
om,SVS
ons,PEMW
uit,UPW
te,UPI
druk,VTHOG
.,ZE
,
indien,KO
die,LB
aansoeker,NSE
voorsien,VTHOG
dat,KO
die,LB
vaartuig,NSE
tydens,SVS
die,LB
huurtermyn,NSE
dalk,BS
ook,BS
in,SVS
die,LB
diepsee,NM
sal,VTUOM
visvang,VTHSO
",",ZM
moet,VTUOM
'n,LO
hy,PDHENP
ook,BS
'n,LO
aansoekvorm,NSE
vir,SVS
'n,LO
diepsee-lisensie,NSE
invul,VTHSG
.,ZE
,
in,SVS
hierdie,PA
opsig,NSE
",",ZM
is,VVUOP
"r2,3",RS
biljoen,THPB
begroot,VTHOG
vir,SVS
nywerheidsbeleidinisiatiewe,NSM
en,KN
'n,LO
verdere,ASA
r5,RS
biljoen,THPB
belastingaansporings,NSM
oor,SVS
drie,THAB
jaar,NSE
sal,VTUOM
die,LB
nywerheidsbeleid,NSE
ondersteun,VTHOG
.,ZE
,
oor,SVS
ten,SVS
minste,BO
10,RS
jaar,NSE
se,UPS
deurlopende,ASA
",",ZM
toepaslike,ASA
en,KN
professionele,ASA
ondervinding,NA
beskik,VTHOO
",",ZM
wat,PB
onmiddellik,BS
voor,SVS
die,LB
indiening,NA
van,SVS
hulle,PDMB
aansoek,NSE
opgedoen,VVHOG
is,VVUOP
op,SVS
die,LB
terrein,NSE
waarvoor,PB
hulle,PDMP
om,SVS
erkenning,NA
aansoek,NSE
doen,VTHOG
.,ZE
,
maak,VTHOG
betalings,NSM
op,SVS
die,LB
voorgeskrewe,ASA
irp,RL
6-aanslag,NSE
se,UPS
betalingsadvies,NA
",",ZM
op,SVS
of,KN
vóór,SVS
voorgeskrewe,ASA
die,LB
betaaldatums,NSM
.,ZE
,
daar,UXD
is,VTHOK
geen,THAB
regverdiging,NA
vir,SVS
sodanige,ASA
dade,NSM
van,SVS
moedswillige,ASA
vernietiging,NA
en,KN
wreedheid,NA
nie,UPO
.,ZE
,
die,LB
keuse,NSE
van,SVS
watter,PB
assesseringstrategieë,NSM
om,SVS
te,UPI
gebruik,VTHOG
",",ZM
is,VTHOK
subjektief,ASP
en,KN
uniek,ASP
aan,SVS
elke,PO
onderwyser,NSE
",",ZM
graad,NSE
en,KN
skool,NSE
.,ZE
,
die,LB
gesondheidsprofiel,NSE
van,SVS
die,LB
nasie,NSE
in,SVS
die,LB
geheel,NM
te,UPI
verbeter,VTHOG
,
om,SVS
te,UPI
bepaal,VTHOG
in,SVS
watter,PB
klasgroep,NSE
jou,PTEB
goedere,NSM
of,KN
dienste,NSM
ingedeel,VVHOG
word,VTUOP
",",ZM
raadpleeg,VTHOG
nice,NEE
classification,NEE
-,ZM
8th,RS
edition,NEE
of,KN
besoek,VTHOG
ons,PEMB
kantoor,NSE
in,SVS
pretoria,NEE
.,ZE
,
skryf,NA
en,KN
spelling,NSE
in,SVS
geskrewe,ASA
tekste,NSM
;,ZM
,
lewende,ASA
krap,NM
mag,VTUOM
glad,BS
nie,BS
ingevoer,VVHOG
word,VTUOP
nie,UPO
.,ZE
,
'n,LO
verklaring,NSE
wat,PB
bevestig,VTHOG
dat,KO
die,LB
boedel,NSE
nog,BS
nie,BS
by,SVS
'n,LO
ander,ASA
meesterskantoor,NSE
of,KN
by,SVS
'n,LO
ander,ASA
dienspunt,NSE
van,SVS
die,LB
meester,NSE
aangemeld,VVHOG
is,VVUOP
nie,UPO
.,ZE
,
die,LB
aansoeke,NSM
sal,VTUOM
deur,SVS
die,LB
toepaslike,ASA
professionele,ASA
adviesraad,NSE
beoordeel,VTHOG
word,VTUOP
",",ZM
deur,SVS
sacnasp,RK
se,UPS
registrasiekomitee,NSE
goedgekeur,VVHOG
word,VTUOP
",",ZM
en,KN
deur,SVS
die,LB
volle,ASA
raad,NSE
gemagtig,VVHOG
word,VTUOP
.,ZE
,
dit,PDOENP
het,VUOT
die,LB
moontlikheid,NSE
om,SVS
die,LB
program,NSE
uit,UPW
te,UPI
brei,VTHOG
en,KN
die,LB
kwaliteit,NA
daarvan,PB
te,UPI
verhoog,VTHOG
",",ZM
aansienlik,BS
verbeter,VTHOG
.,ZE
,
belegging,NSE
in,SVS
die,LB
ekonomie,NSE
deur,SVS
sowel,KO
die,LB
openbare,ASA
as,KO
die,LB
privaatsektor,NSE
het,VUOT
met,SVS
ongeveer,BS
11%,RS
toegeneem,VVHOO
",",ZM
en,KN
die,LB
algehele,ASA
besteding,NSE
aan,SVS
openbare-sektor,NSE
infrastruktuur,NM
teen,SVS
'n,LO
jaarlikse,ASA
gemiddeld,NSE
van,SVS
"15,8%",RS
.,ZE
,
sodanige,ASA
vordering,NA
kan,VTUOM
beter,BV
deur,SVS
middel,NSE
van,SVS
'n,LO
stelling,NSE
",",ZM
kode,NSE
of,KN
skriftelike,ASA
kommentaar,NSE
beskryf,VTHOG
word,VTUOP
.,ZE
,
leerders,NSM
behoort,VTUOM
bewus,ASP
van,SVS
en,KN
krities,ASP
te,UPI
wees,VTHOK
oor,SVS
waardes,NSM
in,SVS
die,LB
tekste,NSM
wat,PB
hulle,PDMP
lees,VTHOG
",",ZM
waarna,PB
hulle,PDMP
kyk,VTHOG
en,KN
wat,PB
hulle,PDMP
self,PDOEW
skep,VTHOG
.,ZE
,
lw,RA
:,ZM
die,LB
uitvoerpermit,NSE
waarna,PB
verwys,VTHOG
word,VTUOP
",",ZM
sluit,VTHOG
varswatervis,NM
uit,UPW
.,ZE
,
verskaf,VTHOG
riglyne,NSM
oor,SVS
hoe,PB
om,SVS
die,LB
regte,ASA
handtekeninge,NSM
of,KN
dokumente,NSM
te,UPI
bekom,VTHOG
aan,SVS
kliënte,NSM
,
laat,VTUOA
ons,PEMP
dus,BS
ons,PEMB
moue,NSM
oprol,VTHSG
en,KN
aan,SVS
die,LB
werk,NA
spring,VTHOO
met,SVS
die,LB
volle,ASA
besef,NA
dat,KO
die,LB
bou,NA
van,SVS
dié,PA
suid-afrika,NEE
waarna,PB
ons,PEMP
streef,VTHOO
",",ZM
'n,LO
taak,NSE
en,KN
'n,LO
gesamentlike,ASA
verantwoordelikheid,NSE
is,VTHOK
wat,PB
ons,PEMP
met,SVS
mekaar,PW
deel,VTHOO
.,ZE
,
in,SVS
hierdie,PA
opsig,NSE
prys,VTHOG
ons,PEMP
die,LB
kompetisiekommissie,NSE
vir,SVS
die,LB
ferm,ASA
hand,NSE
waarmee,PB
hulle,PDMP
verseker,VTHOG
dat,KO
oortreders,NSM
aan,SVS
die,LB
pen,NSE
ry,VTHOO
.,ZE
,
die,LB
boodskap,NSE
van,SVS
hul,PDMB
heldedade,NSM
geld,VTHOO
vandag,BS
nog,BS
net,BS
so,UPV
duidelik,BS
as,KO
soveel,THAO
jaar,NSE
gelede,BS
",",ZM
naamlik,BS
dat,KO
ons,PEMP
saam,BS
die,LB
grense,NSM
van,SVS
geleenthede,NSM
moet,VTUOM
verken,VTHOG
;,ZM
dat,KO
ons,PEMP
inderdaad,BS
",",ZM
soos,UPV
die,LB
vryheidsmanifes,NSE
dit,PDOENP
stel,VTHOG
",",ZM
die,LB
"""",ZPL
deure,NSM
van,SVS
geleerdheid,NA
en,KN
van,SVS
kultuur,NA
"""",ZPR
nog,BS
wyer,BV
moet,VTUOM
oopmaak,VTHSG
!,ZE
,
die,LB
hulp,NA
van,SVS
'n,LO
ander,ASA
persoon,NSE
te,UPI
bekom,VTHOG
om,SVS
sulke,ASA
dade,NSM
te,UPI
pleeg,VTHOG
;,ZM
,
om,SVS
seewatervis,NM
na,SVS
die,LB
buiteland,NM
of,KN
buite,SVS
die,LB
grense,NSM
van,SVS
die,LB
republiek,NSE
van,SVS
suid-afrika,NEE
uit,UPW
te,UPI
voer,VTHOG
",",ZM
moet,VTUOM
jy,PTENP
aansoek,NSE
doen,VTHOG
om,SVS
'n,LO
uitvoerpermit,NSE
",",ZM
wat,PB
deur,SVS
die,LB
minister,NSE
van,SVS
departement,NSE
van,SVS
omgewingsake,NSM
en,KN
toerisme,NA
of,KN
sy,PDHEB
gedelegeerde,ASA
gesag,NA
uitgereik,VVHOG
word,VTUOP
.,ZE
,
die,LB
oorspronklike,ASA
aansoek,NSE
moet,VTUOM
gepos,VVHOG
word,VTUOP
",",ZM
anders,KO
sal,VTUOM
'n,LO
permit,NSE
nie,UPO
uitgereik,VVHOG
word,VTUOP
nie,UPO
.,ZE
,
die,LB
soort,NSE
krag,NM
en,KN
lengte,NSE
van,SVS
die,LB
vaartuig,NSE
,
dienste,NSM
vir,SVS
organisasies,NSM
:,ZM
dienste,NSM
wat,PB
met,SVS
organisasies,NSM
en,KN
sakeondernemings,NSM
verband,NSE
hou,VTHOG
,
suid-afrikaanse,ASA
verteenwoordigers,NSM
in,SVS
die,LB
buiteland,NM
kan,VTUOM
amptelike,ASA
dokumente,NSM
slegs,BS
attesteer,VTHOG
indien,KO
die,LB
dokumente,NSM
eerste,TRBB
deur,SVS
die,LB
betrokke,ASA
buitelandse,ASA
outoriteit,NSE
of,KN
die,LB
departement,NSE
van,SVS
buitelandse,ASA
sake,NSM
se,UPS
attesteringsafdeling,NSE
geattesteer,VVHOG
is,VVUOP
.,ZE
,
'n,LO
versnelling,NSE
in,SVS
ons,PEMB
strewe,NA
om,SVS
die,LB
doelwit,NSE
van,SVS
gesondheid,NA
vir,SVS
almal,PO
te,UPI
bereik,VTHOG
,
as,KO
die,LB
eerste,TRAB
voorlopige,ASA
belastingbetaling,NSE
gebaseer,VVHOG
is,VVUOP
op,SVS
'n,LO
beraamde,ASA
belasbare,ASA
inkomste,NSE
wat,PB
minder,AVP
as,KO
die,LB
basiese,ASA
bedrag,NSE
is,VTHOK
",",ZM
moet,VTUOM
'n,LO
versoek,NSE
en,KN
motivering,NSE
aangeheg,VVHOG
word,VTUOP
.,ZE
,
sosiale,ASA
wetenskappe,NSM
,
voorlopige,ASA
belasting,NM
is,VVUOP
bedoel,VTHOG
om,SVS
belastingbetalers,NSM
te,UPI
help,VTUOA
om,SVS
hulle,PDMB
belastingverpligtinge,NSM
op,SVS
'n,LO
deurlopende,ASA
basis,NSE
na,UPW
te,UPI
kom,VTHOG
in,SVS
plaas,NSE
daarvan,PB
om,SVS
een,THAB
maal,NSE
per,SVS
jaar,NSE
'n,LO
groot,ASA
bedrag,NSE
te,UPI
moet,VTUOM
betaal,VTHOG
wanneer,PB
hulle,PDMP
aangeslaan,VVHOG
word,VTUOP
.,ZE
,
rekreasievisvangs,NA
sluit,VTHOG
betrokkenheid,NA
by,SVS
'n,LO
visverwante,ASA
aktiwiteit,NSE
soos,UPV
die,LB
invoer,NA
van,SVS
seewatervis,NM
vir,SVS
rekreasiedoeleindes,NSM
in,UPW
.,ZE
,
stappe,NSM
om,SVS
te,UPI
volg,VTHOG
,
in,SVS
albei,THAB
gevalle,NSM
is,VTHOK
die,LB
privaatsektor,NSE
ver,BS
agter,SVS
.,ZE
,
ons,PEMP
is,VTHOK
bly,ASP
dat,KO
de,LB
beers,NEE
ingestem,VVHOO
het,VUOT
om,SVS
ons,PEMP
vir,SVS
drie,THAB
jaar,NSE
lank,BS
gratis,BS
met,SVS
die,LB
bestuur,NA
",",ZM
tegniese,ASA
vaardighede,NSM
en,KN
batevoorsiening,NA
te,UPI
help,VTHOO
.,ZE
,
van,SVS
kritiese,ASA
belang,NSE
in,SVS
hierdie,PA
verband,NSE
is,VTHOK
die,LB
inisiatief,NSE
wat,PB
tans,BS
ontwikkel,VTHOG
word,VTUOP
om,SVS
te,UPI
sorg,VTHOG
dat,KO
die,LB
hoofrolspelers,NSM
in,SVS
somalië,NEE
met,SVS
mekaar,PW
in,SVS
gesprek,NSE
tree,VTHOO
sodat,KO
daar,UXD
'n,LO
oplossing,NSE
gevind,VVHOG
kan,VTUOM
word,VTUOP
wat,PB
inklusief,ASP
en,KN
prakties,BS
uitvoerbaar,ASP
is,VTHOK
",",ZM
en,KN
gebaseer,VVHOG
is,VVUOP
op,SVS
die,LB
noodsaak,NA
om,SVS
nasionale,ASA
versoening,NA
te,UPI
bewerkstellig,VTHOG
.,ZE
,
gaan,VTHOO
na,SVS
die,LB
korting-blokkie,NSED
in,SVS
die,LB
deel,NSE
kliënttipes,NSM
(,ZPL
a,RS
),ZPR
van,SVS
die,LB
registrasie-gedeelte,NSE
.,ZE
,
die,LB
eerste,TRAB
vier,THAB
leeruitkomste,NSM
dek,VTHOG
vyf,THAB
verskillende,ASA
taalvaardighede,NSM
(,ZPL
luister,NA
",",ZM
praat,NA
",",ZM
lees,NA
",",ZM
kyk,NA
en,KN
skryf,NA
),ZPR
.,ZE
,
'n,LO
volledige,ASA
inkomste-en-uitgawestaat,NSE
",",ZM
asook,KN
'n,LO
verklaring,NSE
waarin,PB
die,LB
redes,NSM
vir,SVS
die,LB
aansoek,NSE
uiteengesit,VVHOG
word,VTUOP
",",ZM
moet,VTUOM
aan,SVS
die,LB
onderhoudsbeampte,NSE
gestuur,VVHOG
word,VTUOP
ongeag,SVS
of,KN
jy,PTENP
die,LB
persoon,NSE
is,VTHOK
wat,PB
onderhoud,NA
ontvang,VTHOG
en,KN
of,KO
jy,PTENP
die,LB
persoon,NSE
is,VTHOK
wat,PB
onderhoud,NA
betaal,VTHOG
.,ZE
,
die,LB
derde,TRAB
periode,NSE
verteenwoordig,VTHOG
die,LB
totale,ASA
belasting,NSE
wat,PB
vir,SVS
die,LB
volle,ASA
jaar,NSE
betaalbaar,ASP
is,VTHOK
",",ZM
minus,BS
,
taknaam,NSE
,
dit,PDOENP
gee,VTHOG
te,UPI
kenne,VTHOO
dat,KO
die,LB
armoede-situasie,NSE
opmerklik,BS
verbeter,VTHOO
het,VUOT
",",ZM
veral,BS
onder,SVS
mense,NSM
wat,PB
die,LB
hoogste,AOA
graad,NSE
van,SVS
welsynsontneming,NA
ervaar,VTHOG
.,ZE
,
dit,PDOENP
word,VTUOP
hiërargies,BS
aangebied,VVHOG
",",ZM
en,KN
verdeel,VTHOG
die,LB
webtuiste,NSE
se,UPS
inligting,NM
in,SVS
steeds,BS
meer,BV
spesifieke,ASA
onderwerpareas,NSM
.,ZE
,
die,LB
toevoegende,ASA
benadering,NSE
tot,SVS
veeltaligheid,NA
,
geen,THBB
lewende,ASA
seewatervis,NM
mag,VTUOM
ingevoer,VVHOG
word,VTUOP
nie,UPO
.,ZE
,
jy,PTENP
moet,VTUOM
die,LB
volgende,NA
moet,VTUOM
by,SVS
die,LB
plek,NSE
van,SVS
binnekoms,NA
aan,SVS
die,LB
suid-afrikaanse,ASA
veeartsenyinvoerbeampte,NSE
voorlê,VTHSG
:,ZM
,
'n,LO
kombinasie,NSE
van,SVS
skriftelike,ASA
en,KN
visuele,ASA
tekste,NSM
",",ZM
soos,UPV
'n,LO
advertensie,NSE
;,ZM
,
betaling,NSE
aan,SVS
die,LB
said,RL
kan,VTUOM
op,SVS
enige,PO
van,UPD
die,LB
volgende,ASA
maniere,NSM
geskied,VTHOO
:,ZM
,
daar,UXD
is,VTHOK
ook,BS
geen,THAB
twyfel,NA
nie,UPO
dat,KO
ons,PEMP
meer,THAO
selfwerksaamheid,NA
kan,VTUOM
skep,VTHOG
deur,SVS
middel,NA
van,SVS
klein,ASA
en,KN
mikro-ondernemings,NSM
.,ZE
,
in,SVS
die,LB
behuisingsprogram,NSE
is,VVUOP
byna,BS
300,RS
000,RS
nuwe,ASA
subsidies,NSM
oor,SVS
die,LB
afgelope,ASA
twee,THAB
jaar,NSE
toegestaan,VVHOG
.,ZE
,
betaal,VTHOG
die,LB
permitfooi,NSE
in,SVS
die,LB
departement,NSE
van,SVS
landbou,NM
se,UPS
bankrekening,NSE
in,UPW
:,ZM
,
al,THAO
die,LB
leerareaverklarings,NSM
probeer,VTUOA
om,SVS
'n,LO
bewustheid,NSE
van,SVS
die,LB
verband,NSE
tussen,SVS
sosiale,ASA
geregtigheid,NA
",",ZM
menseregte,NSM
",",ZM
'n,LO
gesonde,ASA
omgewing,NSE
en,KN
inklusiwiteit,NA
te,UPI
skep,VTHOG
.,ZE
,
om,SVS
die,LB
ondersteuning,NA
van,SVS
sarnap,RK
te,UPI
geniet,VTHOG
as,KO
onbevooroordeelde,ASA
waarborg,NSE
van,SVS
bevoegdheid,NA
.,ZE
,
ons,PEMP
beoog,VTHOG
ook,BS
om,SVS
gedurende,SVS
hierdie,PA
jaar,NSE
die,LB
hoeveelheid,NSE
mense,NSM
wat,PB
versuim,VTHOO
om,SVS
tb-behandeling,NA
te,UPI
voltooi,VTHOG
",",ZM
te,UPI
verminder,VTHOG
van,SVS
10%,RS
na,SVS
7%,RS
",",ZM
en,KN
om,SVS
meer,THBO
as,KO
3,RS
000,RS
gesondheidspersoneel,NM
op,UPW
te,UPI
lei,VTHOG
in,SVS
die,LB
bestuur,NA
van,SVS
die,LB
siekte,NSE
",",ZM
en,KN
om,SVS
seker,BS
te,UPI
maak,VTHOO
dat,KO
alle,THAO
pasiënte,NSM
wat,PB
bestand,ASP
is,VTHOK
teen,SVS
tb-medikasie,NM
",",ZM
behandeling,NA
ontvang,VTHOG
.,ZE
,
die,LB
klaer,NSE
",",ZM
wat,PB
gewoonlik,BS
in,SVS
'n,LO
gedeelde,ASA
woonplek,NSE
bly,VTHOO
of,KN
gebly,VVHOO
het,VUOT
",",ZM
te,UPI
verhinder,VTHOG
om,SVS
die,LB
gedeelde,ASA
woonplek,NSE
of,KN
'n,LO
spesifieke,ASA
gedeelte,NSE
van,SVS
die,LB
gedeelde,ASA
woonplek,NSE
binne,SVS
te,UPI
gaan,VTHOV
of,KN
om,SVS
dit,PDOENP
te,UPI
verlaat,VTHOG
;,ZM
of,KN
,
enige,PO
ander,ASA
daad,NSE
te,UPI
pleeg,VTHOG
wat,PB
spesifiek,BS
in,SVS
die,LB
beskermingsbevel,NSE
genoem,VVHOG
word,VTUOP
.,ZE
,
dit,PDOENP
help,VTHOG
die,LB
onderwyser,NSE
in,SVS
die,LB
volgende,ASA
graad,NSE
of,KN
skool,NSE
om,SVS
die,LB
leerder,NSE
beter,BV
te,UPI
verstaan,VTHOG
en,KN
dus,BS
gepas,BS
op,SVS
haar,PDVEDP
of,KN
hom,PDHEDP
te,UPI
reageer,VTHOO
.,ZE
,
al,THAO
hierdie,PA
dinge,NSM
verg,VTHOG
aandag,NA
in,SVS
die,LB
tyd,NM
wat,PB
kom,VTHOO
.,ZE
,
inligting,NM
wat,PB
in,SVS
rapporte,NSM
moet,VTUOM
verskyn,VTHOO
,
jy,PTENP
mag,VTUOM
sodanige,ASA
onderhoud,NM
eis,VTHOG
as,KO
wat,PB
redelikerwys,BS
noodsaaklik,ASP
is,VTHOK
om,SVS
die,LB
kind,NSE
of,KN
ander,ASA
persoon,NSE
wat,PB
op,SVS
onderhoud,NM
geregtig,ASP
is,VTHOK
",",VTHOG
te,UPI
voorsien,VTHOG
van,SVS
'n,LO
behoorlike,ASA
opvoeding,NA
en,KN
bestaan,NA
.,ZE
,
hierdie,PA
loodsprojekte,NSM
behoort,VTUOM
teen,SVS
die,LB
einde,NSE
van,SVS
die,LB
jaar,NSE
afgehandel,ASP
te,UPI
wees,VTHOK
.,ZE
,
my,PEEB
antwoord,NSE
op,SVS
hierdie,PA
vraag,NSE
is,VTHOK
'n,LO
besliste,ASA
nee,NA
!,ZE
,
dit,PDOENP
moet,VTUOM
deur,SVS
mariene-,RWD
en,KN
kusbestuur,NA
se,UPS
afdeling,NSE
vms-operasies,NSM
bevestig,VTHOG
word,VTUOP
.,ZE
,
nb,RL
:,ZM
hierdie,PA
invoerpermit,NSE
sluit,VTHOG
varswatervis,NM
uit,UPW
",",ZM
want,KN
dit,PDOENP
word,VTUOP
deur,SVS
die,LB
departement,NSE
van,SVS
landbou,NA
geadministreer,VVHOG
.,ZE
,
vul,VTHOG
die,LB
toepaslike,ASA
vorm,NSE
in,UPW
en,KN
stuur,VTHOG
dit,PDOENP
aan,SVS
die,LB
onderhoudsbeampte,NSE
.,ZE
,
naam,NSE
van,SVS
bank,NSE
,
laai,VTHOG
die,LB
elektroniese,ASA
aansoekvorm,NSE
vir,SVS
die,LB
oranje,ASA
internasionale,ASA
sertifikaat,NSE
af,UPW
en,KN
vul,VTHOG
die,LB
vorm,NSE
in,UPW
.,ZE
,
'n,LO
tegniese,ASA
vraelys,NSE
,
voortgaan,VTHSO
om,SVS
die,LB
polisie,NM
se,UPS
salarisse,NSM
en,KN
werksomstandighede,NSM
te,UPI
verbeter,VTHOG
;,ZM
die,LB
proses,NSE
vir,SVS
die,LB
verdere,ASA
uitbreiding,NSE
van,SVS
die,LB
personeel,NM
van,SVS
die,LB
suid-afrikaanse,ASA
polisiediens,NSE
aan,SVS
die,LB
gang,NA
sit,VTHOG
",",ZM
wat,PB
die,LB
personeeltal,NSE
binne,SVS
drie,THAB
jaar,NSE
op,SVS
meer,THBO
as,KO
180,RS
000,RS
te,UPI
staan,VTHOO
sal,VTUOM
bring,VTHOO
;,ZM
en,KN
sorg,VTHOG
dat,KO
die,LB
elektroniese,ASA
monitering-,RWD
en,KN
evalueringstelsel,NSE
wat,PB
so,UPV
pas,BS
in,SVS
werking,NA
gestel,VVHOG
